ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
4,責任,せきにん,দায়িত্ব,রেঁস্তোরা,দায়িত্ব,সমস্যা,দায়িত্ব,今の仕事は責任が重い.,এই কাজটি অনেক দায়িত্ব নিয়ে আসে।,バングラデシュ語,N3
5,常,つね,সর্বদা,সর্বদা,অনুমতি দিতে,বলা,সর্বদা,"常に,家族の健康を考えている.",আমি সবসময় আমার পরিবারের স্বাস্থ্যের কথা চিন্তা করি।,バングラデシュ語,N3
6,安全,あんぜん,নিরাপত্তা,বলেছেন,নিরাপদ,গ্রামীণ,নিরাপদ,安全な場所に車を止めた.,আমি আমার গাড়ী একটি নিরাপদ জায়গায় পার্ক করেছি।,バングラデシュ語,N3
7,画面,がめん,পর্দা,স্ক্রু,পর্দা,বস্তু,পর্দা,"パソコンの画面を見ると,目が疲れる.",একটানা কম্পিউটারের স্ক্রিনের দিকে তাকালে আপনার চোখ ক্লান্ত হয়ে যাবে।,バングラデシュ語,N3
8,正面,しょうめん,সামনে,সামনে,থেকে,সম্মুখ,সামনে,パン屋の正面に小さいな本屋がある.,বেকারির সামনে একটা ছোট বইয়ের দোকান।,バングラデシュ語,N3
9,研修,けんしゅう,প্রশিক্ষণ,প্রশিক্ষণ,ঐতিহ্য,চলমান,প্রশিক্ষণ,"採用が決まって,すぐに研修が始まる.","একবার নিয়োগের সিদ্ধান্ত নেওয়া হলে, প্রশিক্ষণ অবিলম্বে শুরু হবে।",バングラデシュ語,N3
10,知識,ちしき,জ্ঞান,জ্ঞান,রাখতে,যুদ্ধ,জ্ঞান,もっといろいろな知識を増やしたい.,আমি বিভিন্ন বিষয়ে আমার জ্ঞান বাড়াতে চাই।,バングラデシュ語,N3
11,父親,ちちおや,পিতা,ভাই,পিতা,প্রতিষ্ঠান,পিতা,父親は今年50歳になる。,আমার বাবা এই বছর 50 বছর বয়সী।,バングラデシュ語,N3
12,母親,ははおや,মা,বোন,মা,শিক্ষাগত যোগ্যতা,মা,母親の料理は、とてもおいしい。,আমার মায়ের রান্না করা খাবার খুবই সুস্বাদু।,バングラデシュ語,N3
13,長女,ちょうじょ,বড় মেয়ে,ভবিষ্যৎ,মাধ্যমিক,বড় মেয়ে,বড় মেয়ে,私は長女で、妹が一人いる。,আমি বড় মেয়ে এবং একটি ছোট বোন আছে।,バングラデシュ語,N3
14,長男,ちょうなん,বড় ছেলে,ছোট ছেলে,সমস্যাটি,বড় ছেলে,বড় ছেলে,姉に元気な長男が生まれた。,আমার বোন একটি সুস্থ বড় ছেলের জন্ম দিয়েছে।,バングラデシュ語,N3
15,次女,じじょ,দ্বিতীয় কন্যা,ভারী,দ্বিতীয় বড় মেয়ে,দর কষাকষি,দ্বিতীয় বড় মেয়ে,次女は母に似ている。,আমার দ্বিতীয় মেয়ে দেখতে ঠিক আমার মায়ের মতো।,バングラデシュ語,N3
16,次男,じなん,দ্বিতীয় পুত্র,সময়ের মধ্যে,দ্বিতীয় পুত্র,পৃষ্ঠতল,দ্বিতীয় পুত্র,次男はとても背が高い。,আমার দ্বিতীয় ছেলে অনেক লম্বা।,バングラデシュ語,N3
17,三女,さんじょ,তৃতীয় কন্যা,প্ল্যাটফর্ম,তৃতীয় কন্যা,আদর্শ,তৃতীয় কন্যা,三女は小学一年生だ。,আমার তৃতীয় মেয়ে প্রাথমিক বিদ্যালয়ের প্রথম শ্রেণীতে পড়ে।,バングラデシュ語,N3
18,三男,さんなん,তৃতীয় পুত্র,তৃতীয় পুত্র,পরিবার,নকল,তৃতীয় পুত্র,三男は兄弟の中で一番元気だ。,ভাইবোনের মধ্যে তৃতীয় ছেলেটি সবচেয়ে উদ্যমী।,バングラデシュ語,N3
19,末っ子,すえっこ,সর্বকনিষ্ঠ সন্তান,ছোট শিশু,উজ্জ্বল,প্রভাব,ছোট শিশু,彼は5人兄弟の末っ子だ。,পাঁচ ভাইবোনের মধ্যে তিনি সবার ছোট।,バングラデシュ語,N3
20,一人っ子,ひとりっこ,শুধুমাত্র বাচ্চা,একমাত্র শিশু,চাকরি,শিখতে,একমাত্র শিশু,私の友達には、一人っ子が多い。,আমার বন্ধুদের বেশিরভাগই শুধু বাচ্চা।,バングラデシュ語,N3
21,姉妹,しまい,বোন,সৌভাগ্য,বোনেরা,শহর,বোনেরা,私は3人姉妹の末っ子だ。,তিন বোনের মধ্যে আমি সবার ছোট।,バングラデシュ語,N3
22,一人娘,ひとりむすめ,একমাত্র কন্যা,গুণমান,অবস্থা,একমাত্র কন্যা,একমাত্র কন্যা,父親は一人娘の結婚式で泣いた。,একজন বাবা তার মেয়ের বিয়েতে কেঁদেছিলেন।,バングラデシュ語,N3
23,親子,おやこ,পিতামাতা এবং সন্তান,ব্যবসা,পিতা,বাঁচতে,পিতা,最近、親子でよく海外旅行をしている。,ইদানীং আমি আমার বাবা-মায়ের সাথে প্রচুর বিদেশ ভ্রমণ করছি।,バングラデシュ語,N3
24,夫婦,ふうふ,দম্পতি,দম্পতি,বন্ধু,সাংস্কৃতিক,দম্পতি,佐藤さん夫婦は、毎日散歩している。,মিস্টার আর মিসেস সাতো রোজ হাঁটে।,バングラデシュ語,N3
25,夫妻,ふさい,স্বামী এবং স্ত্রী,খরচ,স্বামী এবং স্ত্রী,বাস্তব,স্বামী এবং স্ত্রী,部長ご夫妻の家に招待された。,ম্যানেজার ও তার স্ত্রীর বাসায় আমন্ত্রণ রইলো।,バングラデシュ語,N3
26,親類,しんるい,আত্মীয়স্বজন,প্রতিষ্ঠান,বল,আত্মীয়স্বজন,আত্মীয়স্বজন,田中さんと私は親類だ。,তানাকা আর আমার একটা সম্পর্ক আছে।,バングラデシュ語,N3
27,先祖,せんぞ,পূর্বপুরুষ,পূর্বপুরুষ,অনুসরণ করতে,বলা,পূর্বপুরুষ,うちの先祖に、有名なサムライがいるそうだ。,স্পষ্টতই আমার পূর্বপুরুষদের একজন বিখ্যাত সামুরাই ছিলেন।,バングラデシュ語,N3
28,尊敬(する）,そんけい,সম্মান),সম্মান,ব্যক্তিটি,গ্রামীণ,সম্মান,私は両親をとても尊敬している。,আমি আমার বাবা-মাকে অনেক সম্মান করি।,バングラデシュ語,N3
29,叔父,おじ,চাচা,দরজা,চাচা,বস্তু,চাচা,父とおじは二人兄弟だ。,আমার বাবা ও মামা দুই ভাই।,バングラデシュ語,N3
30,叔母,おば,খালা,রাস্তা,গুণমান,খালা,খালা,私は母親よりおばに、いろいろ相談する。,আমি আমার মায়ের চেয়ে খালাকে বেশি উপদেশ দেই।,バングラデシュ語,N3
,,,,,,,,,,バングラデシュ語,N3
,,,,,,,,,,バングラデシュ語,N3
,,,,,,,,,,バングラデシュ語,N3
,,,,,,,,,,バングラデシュ語,N3
,,,,,,,,,,バングラデシュ語,N3
,,,,,,,,,,バングラデシュ語,N3
,,,,,,,,,,バングラデシュ語,N3
